Before the meeting , Mary wrote down the following lists of words . One was : window , door , roof . And the other : roof , window , door .
Before the meeting , Mary wrote down the following lists of words . One was : carbon , sodium , sulphur , helium , chlorine . And the other : carbon , helium , chlorine , sulphur , sodium .
Before the meeting , Mary wrote down the following lists of words . One was : nitrogen , carbon , sodium , sulphur , helium . And the other : carbon , sodium , sulphur , helium , nitrogen .
Before the meeting , Mary wrote down the following lists of words . One was : hydrogen , nitrogen , carbon , sodium , sulphur . And the other : hydrogen , carbon , sodium , nitrogen , sulphur .
Before the meeting , Mary wrote down the following lists of words . One was : chemistry , physics , psychology , biology , zoology . And the other : physics , psychology , chemistry , zoology , biology .
Before the meeting , Mary wrote down the following lists of words . One was : microbiology , chemistry , physics , psychology , biology . And the other : chemistry , physics , psychology , biology , microbiology .
Before the meeting , Mary wrote down the following lists of words . One was : geology , microbiology , chemistry , physics , psychology . And the other : microbiology , chemistry , geology , physics , psychology .
Before the meeting , Mary wrote down the following lists of words . One was : mathematics , geology , microbiology , chemistry , physics . And the other : microbiology , physics , geology , mathematics , chemistry .
Before the meeting , Mary wrote down the following lists of words . One was : astronomy , mathematics , geology , microbiology , chemistry . And the other : chemistry , geology , astronomy , mathematics , microbiology .
Before the meeting , Mary wrote down the following lists of words . One was : botany , astronomy , mathematics , geology , microbiology . And the other : geology , mathematics , astronomy , botany , microbiology .
Before the meeting , Mary wrote down the following lists of words . One was : zoology , botany , astronomy , mathematics , geology . And the other : mathematics , geology , botany , astronomy , zoology .
Before the meeting , Mary wrote down the following lists of words . One was : biology , zoology , botany , astronomy , mathematics . And the other : botany , mathematics , biology , zoology , astronomy .
Before the meeting , Mary wrote down the following lists of words . One was : psychology , biology , zoology , botany , astronomy . And the other : astronomy , zoology , psychology , botany , biology .
Before the meeting , Mary wrote down the following lists of words . One was : physics , psychology , biology , zoology , botany . And the other : zoology , botany , physics , biology , psychology .
Before the meeting , Mary wrote down the following lists of words . One was : piano , drum , trumpet , violin , clarinet . And the other : violin , trumpet , piano , clarinet , drum .
Before the meeting , Mary wrote down the following lists of words . One was : oboe , piano , drum , trumpet , violin . And the other : drum , violin , piano , oboe , trumpet .
Before the meeting , Mary wrote down the following lists of words . One was : trombone , oboe , piano , drum , trumpet . And the other : piano , trombone , drum , oboe , trumpet .
Before the meeting , Mary wrote down the following lists of words . One was : saxophone , trombone , oboe , piano , drum . And the other : trombone , piano , oboe , drum , saxophone .
Before the meeting , Mary wrote down the following lists of words . One was : guitar , saxophone , trombone , oboe , piano . And the other : oboe , guitar , piano , trombone , saxophone .
Before the meeting , Mary wrote down the following lists of words . One was : flute , guitar , saxophone , trombone , oboe . And the other : flute , saxophone , oboe , trombone , guitar .
Before the meeting , Mary wrote down the following lists of words . One was : clarinet , flute , guitar , saxophone , trombone . And the other : guitar , saxophone , clarinet , trombone , flute .
Before the meeting , Mary wrote down the following lists of words . One was : violin , clarinet , flute , guitar , saxophone . And the other : guitar , violin , flute , clarinet , saxophone .
Before the meeting , Mary wrote down the following lists of words . One was : trumpet , violin , clarinet , flute , guitar . And the other : clarinet , trumpet , guitar , violin , flute .
Before the meeting , Mary wrote down the following lists of words . One was : drum , trumpet , violin , clarinet , flute . And the other : flute , violin , drum , trumpet , clarinet .
Before the meeting , Mary wrote down the following lists of words . One was : knife , spoon , fork , pan , pot . And the other : pan , pot , knife , fork , spoon .
Before the meeting , Mary wrote down the following lists of words . One was : dish , knife , spoon , fork , pan . And the other : spoon , knife , fork , dish , pan .
Before the meeting , Mary wrote down the following lists of words . One was : cup , dish , knife , spoon , fork . And the other : fork , knife , dish , cup , spoon .
Before the meeting , Mary wrote down the following lists of words . One was : mixer , cup , dish , knife , spoon . And the other : mixer , knife , cup , dish , spoon .
Before the meeting , Mary wrote down the following lists of words . One was : bowl , mixer , cup , dish , knife . And the other : cup , bowl , knife , mixer , dish .
Before the meeting , Mary wrote down the following lists of words . One was : stove , bowl , mixer , cup , dish . And the other : stove , cup , dish , bowl , mixer .
Before the meeting , Mary wrote down the following lists of words . One was : pot , stove , bowl , mixer , cup . And the other : stove , mixer , bowl , cup , pot .
Before the meeting , Mary wrote down the following lists of words . One was : pan , pot , stove , bowl , mixer . And the other : bowl , pot , stove , pan , mixer .
Before the meeting , Mary wrote down the following lists of words . One was : fork , pan , pot , stove , bowl . And the other : pot , fork , pan , stove , bowl .
Before the meeting , Mary wrote down the following lists of words . One was : spoon , fork , pan , pot , stove . And the other : fork , pot , pan , stove , spoon .
Before the meeting , Mary wrote down the following lists of words . One was : trout , shark , herring , perch , salmon . And the other : salmon , trout , shark , perch , herring .
Before the meeting , Mary wrote down the following lists of words . One was : pike , trout , shark , herring , perch . And the other : perch , shark , herring , pike , trout .
Before the meeting , Mary wrote down the following lists of words . One was : carp , pike , trout , shark , herring . And the other : trout , pike , shark , carp , herring .
Before the meeting , Mary wrote down the following lists of words . One was : cod , carp , pike , trout , shark . And the other : trout , shark , pike , cod , carp .
Before the meeting , Mary wrote down the following lists of words . One was : goldfish , cod , carp , pike , trout . And the other : goldfish , pike , trout , carp , cod .
Before the meeting , Mary wrote down the following lists of words . One was : tuna , goldfish , cod , carp , pike . And the other : cod , pike , carp , tuna , goldfish .
Before the meeting , Mary wrote down the following lists of words . One was : salmon , tuna , goldfish , cod , carp . And the other : salmon , cod , carp , goldfish , tuna .
Before the meeting , Mary wrote down the following lists of words . One was : perch , salmon , tuna , goldfish , cod . And the other : tuna , goldfish , salmon , cod , perch .
Before the meeting , Mary wrote down the following lists of words . One was : herring , perch , salmon , tuna , goldfish . And the other : salmon , goldfish , herring , perch , tuna .
Before the meeting , Mary wrote down the following lists of words . One was : shark , herring , perch , salmon , tuna . And the other : salmon , shark , tuna , perch , herring .
Before the meeting , Mary wrote down the following lists of words . One was : football , baseball , basketball , tennis , swimming . And the other : swimming , football , basketball , baseball , tennis .
Before the meeting , Mary wrote down the following lists of words . One was : badminton , football , baseball , basketball , tennis . And the other : tennis , badminton , basketball , football , baseball .
Before the meeting , Mary wrote down the following lists of words . One was : lacrosse , badminton , football , baseball , basketball . And the other : lacrosse , basketball , baseball , badminton , football .
Before the meeting , Mary wrote down the following lists of words . One was : hockey , lacrosse , badminton , football , baseball . And the other : lacrosse , football , badminton , hockey , baseball .
Before the meeting , Mary wrote down the following lists of words . One was : golf , hockey , lacrosse , badminton , football . And the other : golf , hockey , football , badminton , lacrosse .
Before the meeting , Mary wrote down the following lists of words . One was : soccer , golf , hockey , lacrosse , badminton . And the other : soccer , hockey , golf , badminton , lacrosse .
Before the meeting , Mary wrote down the following lists of words . One was : swimming , soccer , golf , hockey , lacrosse . And the other : soccer , golf , swimming , lacrosse , hockey .
Before the meeting , Mary wrote down the following lists of words . One was : tennis , swimming , soccer , golf , hockey . And the other : tennis , soccer , hockey , golf , swimming .
Before the meeting , Mary wrote down the following lists of words . One was : basketball , tennis , swimming , soccer , golf . And the other : basketball , tennis , soccer , golf , swimming .
Before the meeting , Mary wrote down the following lists of words . One was : baseball , basketball , tennis , swimming , soccer . And the other : tennis , basketball , swimming , soccer , baseball .
Before the meeting , Mary wrote down the following lists of words . One was : doctor , lawyer , teacher , dentist , engineer . And the other : doctor , dentist , teacher , engineer , lawyer .
Before the meeting , Mary wrote down the following lists of words . One was : psychologist , doctor , lawyer , teacher , dentist . And the other : doctor , psychologist , dentist , lawyer , teacher .
Before the meeting , Mary wrote down the following lists of words . One was : nurse , psychologist , doctor , lawyer , teacher . And the other : nurse , teacher , psychologist , lawyer , doctor .
Before the meeting , Mary wrote down the following lists of words . One was : salesman , nurse , psychologist , doctor , lawyer . And the other : nurse , salesman , psychologist , lawyer , doctor .
Before the meeting , Mary wrote down the following lists of words . One was : carpenter , salesman , nurse , psychologist , doctor . And the other : salesman , carpenter , psychologist , doctor , nurse .
Before the meeting , Mary wrote down the following lists of words . One was : professor , carpenter , salesman , nurse , psychologist . And the other : psychologist , nurse , professor , salesman , carpenter .
Before the meeting , Mary wrote down the following lists of words . One was : engineer , professor , carpenter , salesman , nurse . And the other : salesman , carpenter , engineer , nurse , professor .
Before the meeting , Mary wrote down the following lists of words . One was : dentist , engineer , professor , carpenter , salesman . And the other : engineer , dentist , professor , salesman , carpenter .
Before the meeting , Mary wrote down the following lists of words . One was : teacher , dentist , engineer , professor , carpenter . And the other : dentist , engineer , professor , teacher , carpenter .
Before the meeting , Mary wrote down the following lists of words . One was : lawyer , teacher , dentist , engineer , professor . And the other : dentist , teacher , engineer , professor , lawyer .
Before the meeting , Mary wrote down the following lists of words . One was : oak , maple , pine , elm , birch . And the other : pine , maple , birch , oak , elm .
Before the meeting , Mary wrote down the following lists of words . One was : hickory , oak , maple , pine , elm . And the other : elm , hickory , maple , oak , pine .
Before the meeting , Mary wrote down the following lists of words . One was : fir , hickory , oak , maple , pine . And the other : pine , fir , oak , maple , hickory .
Before the meeting , Mary wrote down the following lists of words . One was : walnut , fir , hickory , oak , maple . And the other : fir , maple , oak , walnut , hickory .
Before the meeting , Mary wrote down the following lists of words . One was : redwood , walnut , fir , hickory , oak . And the other : oak , redwood , hickory , walnut , fir .
Before the meeting , Mary wrote down the following lists of words . One was : spruce , redwood , walnut , fir , hickory . And the other : fir , spruce , redwood , walnut , hickory .
Before the meeting , Mary wrote down the following lists of words . One was : birch , spruce , redwood , walnut , fir . And the other : walnut , spruce , birch , fir , redwood .
Before the meeting , Mary wrote down the following lists of words . One was : elm , birch , spruce , redwood , walnut . And the other : elm , walnut , redwood , birch , spruce .
Before the meeting , Mary wrote down the following lists of words . One was : pine , elm , birch , spruce , redwood . And the other : birch , redwood , elm , spruce , pine .
Before the meeting , Mary wrote down the following lists of words . One was : maple , pine , elm , birch , spruce . And the other : birch , elm , maple , pine , spruce .
Before the meeting , Mary wrote down the following lists of words . One was : shirt , socks , pants , shoes , blouse . And the other : pants , socks , shirt , shoes , blouse .
Before the meeting , Mary wrote down the following lists of words . One was : sweater , shirt , socks , pants , shoes . And the other : shirt , shoes , socks , sweater , pants .
Before the meeting , Mary wrote down the following lists of words . One was : hat , sweater , shirt , socks , pants . And the other : sweater , socks , hat , pants , shirt .
Before the meeting , Mary wrote down the following lists of words . One was : dress , hat , sweater , shirt , socks . And the other : dress , sweater , shirt , socks , hat .
Before the meeting , Mary wrote down the following lists of words . One was : coat , dress , hat , sweater , shirt . And the other : dress , shirt , hat , coat , sweater .
Before the meeting , Mary wrote down the following lists of words . One was : skirt , coat , dress , hat , sweater . And the other : skirt , sweater , hat , dress , coat .
Before the meeting , Mary wrote down the following lists of words . One was : blouse , skirt , coat , dress , hat . And the other : blouse , hat , coat , skirt , dress .
Before the meeting , Mary wrote down the following lists of words . One was : shoes , blouse , skirt , coat , dress . And the other : dress , skirt , shoes , coat , blouse .
Before the meeting , Mary wrote down the following lists of words . One was : pants , shoes , blouse , skirt , coat . And the other : pants , shoes , skirt , coat , blouse .
Before the meeting , Mary wrote down the following lists of words . One was : socks , pants , shoes , blouse , skirt . And the other : socks , pants , blouse , skirt , shoes .
Before the meeting , Mary wrote down the following lists of words . One was : cancer , measles , tuberculosis , polio , malaria . And the other : tuberculosis , polio , measles , malaria , cancer .
Before the meeting , Mary wrote down the following lists of words . One was : encephalitis , cancer , measles , tuberculosis , polio . And the other : measles , tuberculosis , cancer , polio , encephalitis .
Before the meeting , Mary wrote down the following lists of words . One was : influenza , encephalitis , cancer , measles , tuberculosis . And the other : measles , influenza , cancer , tuberculosis , encephalitis .
Before the meeting , Mary wrote down the following lists of words . One was : smallpox , influenza , encephalitis , cancer , measles . And the other : measles , encephalitis , smallpox , cancer , influenza .
Before the meeting , Mary wrote down the following lists of words . One was : pneumonia , smallpox , influenza , encephalitis , cancer . And the other : cancer , smallpox , influenza , encephalitis , pneumonia .
Before the meeting , Mary wrote down the following lists of words . One was : leukemia , pneumonia , smallpox , influenza , encephalitis . And the other : smallpox , leukemia , encephalitis , pneumonia , influenza .
Before the meeting , Mary wrote down the following lists of words . One was : malaria , leukemia , pneumonia , smallpox , influenza . And the other : leukemia , smallpox , pneumonia , malaria , influenza .
Before the meeting , Mary wrote down the following lists of words . One was : polio , malaria , leukemia , pneumonia , smallpox . And the other : smallpox , pneumonia , polio , leukemia , malaria .
Before the meeting , Mary wrote down the following lists of words . One was : tuberculosis , polio , malaria , leukemia , pneumonia . And the other : malaria , pneumonia , tuberculosis , leukemia , polio .
Before the meeting , Mary wrote down the following lists of words . One was : measles , tuberculosis , polio , malaria , leukemia . And the other : malaria , tuberculosis , measles , leukemia , polio .
Before the meeting , Mary wrote down the following lists of words . One was : mountain , hill , valley , river , rock . And the other : rock , river , valley , mountain , hill .
Before the meeting , Mary wrote down the following lists of words . One was : cave , mountain , hill , valley , river . And the other : mountain , hill , river , valley , cave .
Before the meeting , Mary wrote down the following lists of words . One was : ocean , cave , mountain , hill , valley . And the other : cave , valley , mountain , ocean , hill .
Before the meeting , Mary wrote down the following lists of words . One was : tundra , ocean , cave , mountain , hill . And the other : tundra , mountain , cave , ocean , hill .
Before the meeting , Mary wrote down the following lists of words . One was : canyon , tundra , ocean , cave , mountain . And the other : cave , ocean , canyon , mountain , tundra .
Before the meeting , Mary wrote down the following lists of words . One was : lake , canyon , tundra , ocean , cave . And the other : ocean , tundra , lake , canyon , cave .
Before the meeting , Mary wrote down the following lists of words . One was : rock , lake , canyon , tundra , ocean . And the other : lake , rock , canyon , ocean , tundra .
Before the meeting , Mary wrote down the following lists of words . One was : river , rock , lake , canyon , tundra . And the other : tundra , river , rock , lake , canyon .
Before the meeting , Mary wrote down the following lists of words . One was : valley , river , rock , lake , canyon . And the other : valley , lake , river , canyon , rock .
Before the meeting , Mary wrote down the following lists of words . One was : hill , valley , river , rock , lake . And the other : valley , river , hill , lake , rock .
Before the meeting , Mary wrote down the following lists of words . One was : murder , rape , robbery , theft , assault . And the other : assault , theft , rape , murder , robbery .
Before the meeting , Mary wrote down the following lists of words . One was : battery , murder , rape , robbery , theft . And the other : theft , rape , murder , battery , robbery .
Before the meeting , Mary wrote down the following lists of words . One was : adultery , battery , murder , rape , robbery . And the other : battery , adultery , robbery , rape , murder .
Before the meeting , Mary wrote down the following lists of words . One was : larceny , adultery , battery , murder , rape . And the other : adultery , larceny , battery , murder , rape .
Before the meeting , Mary wrote down the following lists of words . One was : kidnapping , larceny , adultery , battery , murder . And the other : murder , kidnapping , adultery , battery , larceny .
Before the meeting , Mary wrote down the following lists of words . One was : arson , kidnapping , larceny , adultery , battery . And the other : arson , kidnapping , larceny , adultery , battery .
Before the meeting , Mary wrote down the following lists of words . One was : assault , arson , kidnapping , larceny , adultery . And the other : larceny , arson , assault , kidnapping , adultery .
Before the meeting , Mary wrote down the following lists of words . One was : theft , assault , arson , kidnapping , larceny . And the other : kidnapping , theft , assault , arson , larceny .
Before the meeting , Mary wrote down the following lists of words . One was : robbery , theft , assault , arson , kidnapping . And the other : assault , robbery , theft , kidnapping , arson .
Before the meeting , Mary wrote down the following lists of words . One was : rape , robbery , theft , assault , arson . And the other : theft , robbery , assault , rape , arson .
Before the meeting , Mary wrote down the following lists of words . One was : log , cat , horse , cow , lion . And the other : lion , cow , cat , horse , log .
Before the meeting , Mary wrote down the following lists of words . One was : mouse , log , cat , horse , cow . And the other : horse , cat , log , cow , mouse .
Before the meeting , Mary wrote down the following lists of words . One was : bear , mouse , log , cat , horse . And the other : cat , log , horse , mouse , bear .
Before the meeting , Mary wrote down the following lists of words . One was : pig , bear , mouse , log , cat . And the other : log , pig , cat , bear , mouse .
Before the meeting , Mary wrote down the following lists of words . One was : elephant , pig , bear , mouse , log . And the other : log , bear , pig , mouse , elephant .
Before the meeting , Mary wrote down the following lists of words . One was : tiger , elephant , pig , bear , mouse . And the other : elephant , pig , tiger , mouse , bear .
Before the meeting , Mary wrote down the following lists of words . One was : lion , tiger , elephant , pig , bear . And the other : lion , tiger , pig , bear , elephant .
Before the meeting , Mary wrote down the following lists of words . One was : cow , lion , tiger , elephant , pig . And the other : lion , tiger , pig , cow , elephant .
Before the meeting , Mary wrote down the following lists of words . One was : horse , cow , lion , tiger , elephant . And the other : tiger , lion , cow , horse , elephant .
Before the meeting , Mary wrote down the following lists of words . One was : cat , horse , cow , lion , tiger . And the other : cat , horse , cow , lion , tiger .
Before the meeting , Mary wrote down the following lists of words . One was : fly , ant , bee , mosquito , spider . And the other : fly , spider , mosquito , bee , ant .
Before the meeting , Mary wrote down the following lists of words . One was : butterfly , fly , ant , bee , mosquito . And the other : fly , bee , ant , butterfly , mosquito .
Before the meeting , Mary wrote down the following lists of words . One was : flea , butterfly , fly , ant , bee . And the other : fly , ant , butterfly , bee , flea .
Before the meeting , Mary wrote down the following lists of words . One was : moth , flea , butterfly , fly , ant . And the other : ant , moth , flea , fly , butterfly .
Before the meeting , Mary wrote down the following lists of words . One was : wasp , moth , flea , butterfly , fly . And the other : moth , wasp , butterfly , fly , flea .
Before the meeting , Mary wrote down the following lists of words . One was : beetle , wasp , moth , flea , butterfly . And the other : flea , butterfly , wasp , beetle , moth .
Before the meeting , Mary wrote down the following lists of words . One was : spider , beetle , wasp , moth , flea . And the other : wasp , beetle , moth , spider , flea .
Before the meeting , Mary wrote down the following lists of words . One was : mosquito , spider , beetle , wasp , moth . And the other : mosquito , beetle , spider , moth , wasp .
Before the meeting , Mary wrote down the following lists of words . One was : bee , mosquito , spider , beetle , wasp . And the other : spider , mosquito , bee , beetle , wasp .
Before the meeting , Mary wrote down the following lists of words . One was : ant , bee , mosquito , spider , beetle . And the other : bee , mosquito , spider , beetle , ant .
Before the meeting , Mary wrote down the following lists of words . One was : blue , red , green , yellow , black . And the other : green , yellow , black , red , blue .
Before the meeting , Mary wrote down the following lists of words . One was : blonde , blue , red , green , yellow . And the other : yellow , blonde , green , red , blue .
Before the meeting , Mary wrote down the following lists of words . One was : brown , blonde , blue , red , green . And the other : blonde , blue , brown , red , green .
Before the meeting , Mary wrote down the following lists of words . One was : pink , brown , blonde , blue , red . And the other : pink , blonde , red , blue , brown .
Before the meeting , Mary wrote down the following lists of words . One was : white , pink , brown , blonde , blue . And the other : white , blue , pink , brown , blonde .
Before the meeting , Mary wrote down the following lists of words . One was : purple , white , pink , brown , blonde . And the other : pink , purple , white , brown , blonde .
Before the meeting , Mary wrote down the following lists of words . One was : black , purple , white , pink , brown . And the other : white , pink , brown , black , purple .
Before the meeting , Mary wrote down the following lists of words . One was : yellow , black , purple , white , pink . And the other : black , pink , purple , white , yellow .
Before the meeting , Mary wrote down the following lists of words . One was : green , yellow , black , purple , white . And the other : purple , white , yellow , green , black .
Before the meeting , Mary wrote down the following lists of words . One was : red , green , yellow , black , purple . And the other : black , red , yellow , green , purple .
Before the meeting , Mary wrote down the following lists of words . One was : cotton , wool , silk , rayon , linen . And the other : cotton , wool , rayon , silk , linen .
Before the meeting , Mary wrote down the following lists of words . One was : felt , cotton , wool , silk , rayon . And the other : felt , silk , rayon , wool , cotton .
Before the meeting , Mary wrote down the following lists of words . One was : canvas , felt , cotton , wool , silk . And the other : canvas , felt , cotton , silk , wool .
Before the meeting , Mary wrote down the following lists of words . One was : denim , canvas , felt , cotton , wool . And the other : wool , denim , canvas , cotton , felt .
Before the meeting , Mary wrote down the following lists of words . One was : velvet , denim , canvas , felt , cotton . And the other : denim , velvet , canvas , felt , cotton .
Before the meeting , Mary wrote down the following lists of words . One was : satin , velvet , denim , canvas , felt . And the other : denim , satin , velvet , canvas , felt .
Before the meeting , Mary wrote down the following lists of words . One was : linen , satin , velvet , denim , canvas . And the other : velvet , linen , denim , satin , canvas .
Before the meeting , Mary wrote down the following lists of words . One was : rayon , linen , satin , velvet , denim . And the other : satin , linen , rayon , denim , velvet .
Before the meeting , Mary wrote down the following lists of words . One was : silk , rayon , linen , satin , velvet . And the other : velvet , rayon , linen , silk , satin .
Before the meeting , Mary wrote down the following lists of words . One was : wool , silk , rayon , linen , satin . And the other : rayon , satin , linen , wool , silk .
Before the meeting , Mary wrote down the following lists of words . One was : window , door , roof , wall , floor , ceiling , room . And the other : room , door , roof , wall , window , floor , ceiling .
Before the meeting , Mary wrote down the following lists of words . One was : hall , window , door , roof , wall , floor , ceiling . And the other : door , roof , ceiling , window , hall , wall , floor .
Before the meeting , Mary wrote down the following lists of words . One was : hearth , hall , window , door , roof , wall , floor . And the other : roof , hearth , window , hall , wall , floor , door .
Before the meeting , Mary wrote down the following lists of words . One was : basement , hearth , hall , window , door , roof , wall . And the other : hearth , basement , wall , window , door , roof , hall .
Before the meeting , Mary wrote down the following lists of words . One was : room , basement , hearth , hall , window , door , roof . And the other : hearth , basement , room , roof , hall , window , door .
Before the meeting , Mary wrote down the following lists of words . One was : ceiling , room , basement , hearth , hall , window , door . And the other : hearth , window , ceiling , basement , room , door , hall .
Before the meeting , Mary wrote down the following lists of words . One was : floor , ceiling , room , basement , hearth , hall , window . And the other : room , basement , floor , hall , hearth , window , ceiling .
Before the meeting , Mary wrote down the following lists of words . One was : wall , floor , ceiling , room , basement , hearth , hall . And the other : hall , hearth , ceiling , floor , room , basement , wall .
Before the meeting , Mary wrote down the following lists of words . One was : roof , wall , floor , ceiling , room , basement , hearth . And the other : room , wall , ceiling , basement , hearth , floor , roof .
Before the meeting , Mary wrote down the following lists of words . One was : door , roof , wall , floor , ceiling , room , basement . And the other : wall , door , basement , ceiling , room , roof , floor .
Before the meeting , Mary wrote down the following lists of words . One was : leg , arms , head , eye , foot , nose , finger . And the other : finger , arms , eye , nose , foot , head , leg .
Before the meeting , Mary wrote down the following lists of words . One was : toe , leg , arms , head , eye , foot , nose . And the other : foot , leg , nose , head , eye , toe , arms .
Before the meeting , Mary wrote down the following lists of words . One was : hand , toe , leg , arms , head , eye , foot . And the other : toe , head , foot , arms , eye , hand , leg .
Before the meeting , Mary wrote down the following lists of words . One was : ear , hand , toe , leg , arms , head , eye . And the other : hand , arms , toe , leg , eye , ear , head .
Before the meeting , Mary wrote down the following lists of words . One was : finger , ear , hand , toe , leg , arms , head . And the other : arms , toe , leg , finger , hand , ear , head .
Before the meeting , Mary wrote down the following lists of words . One was : nose , finger , ear , hand , toe , leg , arms . And the other : nose , finger , toe , leg , hand , ear , arms .
Before the meeting , Mary wrote down the following lists of words . One was : foot , nose , finger , ear , hand , toe , leg . And the other : ear , leg , toe , foot , finger , hand , nose .
Before the meeting , Mary wrote down the following lists of words . One was : eye , foot , nose , finger , ear , hand , toe . And the other : ear , finger , eye , nose , toe , hand , foot .
Before the meeting , Mary wrote down the following lists of words . One was : head , eye , foot , nose , finger , ear , hand . And the other : foot , finger , head , hand , nose , ear , eye .
Before the meeting , Mary wrote down the following lists of words . One was : arms , head , eye , foot , nose , finger , ear . And the other : ear , head , eye , arms , foot , finger , nose .
Before the meeting , Mary wrote down the following lists of words . One was : sailboat , destroyer , battleship , cruiser , submarine , yacht , canoe . And the other : submarine , sailboat , battleship , canoe , yacht , cruiser , destroyer .
Before the meeting , Mary wrote down the following lists of words . One was : steamship , sailboat , destroyer , battleship , cruiser , submarine , yacht . And the other : yacht , destroyer , battleship , submarine , sailboat , steamship , cruiser .
Before the meeting , Mary wrote down the following lists of words . One was : tugboat , steamship , sailboat , destroyer , battleship , cruiser , submarine . And the other : tugboat , steamship , cruiser , submarine , destroyer , sailboat , battleship .
Before the meeting , Mary wrote down the following lists of words . One was : freighter , tugboat , steamship , sailboat , destroyer , battleship , cruiser . And the other : freighter , steamship , sailboat , tugboat , cruiser , battleship , destroyer .
Before the meeting , Mary wrote down the following lists of words . One was : canoe , freighter , tugboat , steamship , sailboat , destroyer , battleship . And the other : destroyer , sailboat , battleship , canoe , steamship , tugboat , freighter .
Before the meeting , Mary wrote down the following lists of words . One was : yacht , canoe , freighter , tugboat , steamship , sailboat , destroyer . And the other : yacht , tugboat , steamship , sailboat , canoe , destroyer , freighter .
Before the meeting , Mary wrote down the following lists of words . One was : submarine , yacht , canoe , freighter , tugboat , steamship , sailboat . And the other : steamship , freighter , yacht , canoe , sailboat , submarine , tugboat .
Before the meeting , Mary wrote down the following lists of words . One was : cruiser , submarine , yacht , canoe , freighter , tugboat , steamship . And the other : steamship , freighter , tugboat , canoe , submarine , yacht , cruiser .
Before the meeting , Mary wrote down the following lists of words . One was : battleship , cruiser , submarine , yacht , canoe , freighter , tugboat . And the other : submarine , cruiser , freighter , yacht , canoe , tugboat , battleship .
Before the meeting , Mary wrote down the following lists of words . One was : destroyer , battleship , cruiser , submarine , yacht , canoe , freighter . And the other : cruiser , submarine , yacht , battleship , canoe , destroyer , freighter .
Before the meeting , Mary wrote down the following lists of words . One was : robin , sparrow , heron , eagle , crow , hawk , parrot . And the other : hawk , eagle , crow , heron , robin , parrot , sparrow .
Before the meeting , Mary wrote down the following lists of words . One was : vulture , robin , sparrow , heron , eagle , crow , hawk . And the other : sparrow , vulture , crow , heron , robin , hawk , eagle .
Before the meeting , Mary wrote down the following lists of words . One was : woodpecker , vulture , robin , sparrow , heron , eagle , crow . And the other : heron , crow , vulture , sparrow , woodpecker , eagle , robin .
Before the meeting , Mary wrote down the following lists of words . One was : pigeon , woodpecker , vulture , robin , sparrow , heron , eagle . And the other : robin , sparrow , vulture , woodpecker , heron , eagle , pigeon .
Before the meeting , Mary wrote down the following lists of words . One was : parrot , pigeon , woodpecker , vulture , robin , sparrow , heron . And the other : sparrow , robin , vulture , pigeon , woodpecker , parrot , heron .
Before the meeting , Mary wrote down the following lists of words . One was : hawk , parrot , pigeon , woodpecker , vulture , robin , sparrow . And the other : woodpecker , hawk , vulture , robin , sparrow , pigeon , parrot .
Before the meeting , Mary wrote down the following lists of words . One was : crow , hawk , parrot , pigeon , woodpecker , vulture , robin . And the other : parrot , woodpecker , crow , hawk , robin , vulture , pigeon .
Before the meeting , Mary wrote down the following lists of words . One was : eagle , crow , hawk , parrot , pigeon , woodpecker , vulture . And the other : parrot , vulture , hawk , pigeon , woodpecker , eagle , crow .
Before the meeting , Mary wrote down the following lists of words . One was : heron , eagle , crow , hawk , parrot , pigeon , woodpecker . And the other : heron , parrot , pigeon , crow , eagle , hawk , woodpecker .
Before the meeting , Mary wrote down the following lists of words . One was : sparrow , heron , eagle , crow , hawk , parrot , pigeon . And the other : eagle , pigeon , crow , sparrow , hawk , parrot , heron .
Before the meeting , Mary wrote down the following lists of words . One was : apple , pear , banana , peach , grape , cherry , plum . And the other : peach , plum , apple , grape , pear , cherry , banana .
Before the meeting , Mary wrote down the following lists of words . One was : apricot , apple , pear , banana , peach , grape , cherry . And the other : cherry , apple , grape , apricot , peach , banana , pear .
Before the meeting , Mary wrote down the following lists of words . One was : lemon , apricot , apple , pear , banana , peach , grape . And the other : pear , apricot , grape , lemon , apple , banana , peach .
Before the meeting , Mary wrote down the following lists of words . One was : grapefruit , lemon , apricot , apple , pear , banana , peach . And the other : apricot , lemon , banana , pear , peach , apple , grapefruit .
Before the meeting , Mary wrote down the following lists of words . One was : plum , grapefruit , lemon , apricot , apple , pear , banana . And the other : apricot , grapefruit , lemon , banana , plum , pear , apple .
Before the meeting , Mary wrote down the following lists of words . One was : cherry , plum , grapefruit , lemon , apricot , apple , pear . And the other : apple , pear , cherry , apricot , plum , grapefruit , lemon .
Before the meeting , Mary wrote down the following lists of words . One was : grape , cherry , plum , grapefruit , lemon , apricot , apple . And the other : apricot , apple , lemon , grapefruit , plum , grape , cherry .
Before the meeting , Mary wrote down the following lists of words . One was : peach , grape , cherry , plum , grapefruit , lemon , apricot . And the other : grape , peach , grapefruit , plum , apricot , cherry , lemon .
Before the meeting , Mary wrote down the following lists of words . One was : banana , peach , grape , cherry , plum , grapefruit , lemon . And the other : grape , cherry , banana , plum , grapefruit , peach , lemon .
